Metric,Value
first-contentful-paint,764.6120000000001
largest-contentful-paint,1788.9180000000001
speed-index,1550.568280498339
total-blocking-time,634.694
cumulative-layout-shift,0
interactive,1904.9180000000001
transfer-size,143364
resource-size,143030
server-response-time,24.65400000000001
first-contentful-paint,754.7159999999999
largest-contentful-paint,1771.0739999999998
speed-index,2124.464700114895
total-blocking-time,753.642
cumulative-layout-shift,0
interactive,1866.0739999999998
transfer-size,143364
resource-size,143030
server-response-time,25.395999999999958
first-contentful-paint,753.182
largest-contentful-paint,1704.9775
speed-index,873.5379533316819
total-blocking-time,102.90899999999999
cumulative-layout-shift,0
interactive,1304.682
transfer-size,143364
resource-size,143030
server-response-time,23.479
first-contentful-paint,757.306
largest-contentful-paint,1784.959
speed-index,1643.730372127715
total-blocking-time,702.347
cumulative-layout-shift,0
interactive,1892.959
transfer-size,143364
resource-size,143030
server-response-time,26.251999999999995
first-contentful-paint,763.4939999999999
largest-contentful-paint,1790.8674999999998
speed-index,1671.5832885126856
total-blocking-time,659.2529999999999
cumulative-layout-shift,0
interactive,1887.8674999999998
transfer-size,143364
resource-size,143030
server-response-time,29.516999999999996
first-contentful-paint,756.77
largest-contentful-paint,1801.155
speed-index,1669.6648844655415
total-blocking-time,721.615
cumulative-layout-shift,0
interactive,1899.155
transfer-size,143364
resource-size,143030
server-response-time,26.932999999999993
first-contentful-paint,757.9100000000001
largest-contentful-paint,1768.8875000000003
speed-index,1351.6820228335462
total-blocking-time,490.0450000000001
cumulative-layout-shift,0
interactive,1862.8875000000003
transfer-size,143364
resource-size,143030
server-response-time,30.043999999999997
first-contentful-paint,755.078
largest-contentful-paint,1761.617
speed-index,1407.4130441956413
total-blocking-time,573.461
cumulative-layout-shift,0
interactive,1849.617
transfer-size,143364
resource-size,143030
server-response-time,25.910000000000004
first-contentful-paint,757.3299999999999
largest-contentful-paint,1835.995
speed-index,1446.413286855653
total-blocking-time,686.335
cumulative-layout-shift,0
interactive,1954.995
transfer-size,143364
resource-size,143030
server-response-time,25.083
first-contentful-paint,759.6220000000001
largest-contentful-paint,1799.433
speed-index,1504.8497933548992
total-blocking-time,654.1890000000001
cumulative-layout-shift,0
interactive,1899.433
transfer-size,143364
resource-size,143030
server-response-time,32.31899999999999
first-contentful-paint,756.798
largest-contentful-paint,1765.4975
speed-index,1526.894718660639
total-blocking-time,551.6009999999999
cumulative-layout-shift,0
interactive,1892.4975
transfer-size,143364
resource-size,143030
server-response-time,25.391000000000005
first-contentful-paint,773.7840000000001
largest-contentful-paint,1797.73
speed-index,1487.2532427696844
total-blocking-time,584.108
cumulative-layout-shift,0
interactive,1902.73
transfer-size,143364
resource-size,143030
server-response-time,31.442999999999998
first-contentful-paint,753.55
largest-contentful-paint,1759.3249999999998
speed-index,1600.7243967431464
total-blocking-time,623.2250000000001
cumulative-layout-shift,0
interactive,1853.325
transfer-size,143364
resource-size,143030
server-response-time,26.123999999999995
first-contentful-paint,769.854
largest-contentful-paint,1801.781
speed-index,1557.8922979016938
total-blocking-time,628.0730000000001
cumulative-layout-shift,0
interactive,1909.7810000000002
transfer-size,143364
resource-size,143030
server-response-time,33.379999999999995
first-contentful-paint,768.7919999999999
largest-contentful-paint,1803.1879999999999
speed-index,1477.4894701611593
total-blocking-time,642.604
cumulative-layout-shift,0
interactive,1919.1879999999999
transfer-size,143364
resource-size,143030
server-response-time,32.087
first-contentful-paint,765.8040000000001
largest-contentful-paint,1796.7060000000001
speed-index,1627.45924135715
total-blocking-time,725.098
cumulative-layout-shift,0
interactive,1939.7060000000001
transfer-size,143364
resource-size,143030
server-response-time,32.79900000000001
first-contentful-paint,750.9839999999999
largest-contentful-paint,1766.4759999999999
speed-index,1745.1360129702985
total-blocking-time,728.508
cumulative-layout-shift,0
interactive,1865.4759999999999
transfer-size,143364
resource-size,143030
server-response-time,31.442999999999984
first-contentful-paint,781.826
largest-contentful-paint,1808.7825
speed-index,1826.523550374444
total-blocking-time,573.087
cumulative-layout-shift,0
interactive,1913.7825
transfer-size,143364
resource-size,143030
server-response-time,33.452
first-contentful-paint,763.6959999999999
largest-contentful-paint,1777.5439999999999
speed-index,1635.4542949461056
total-blocking-time,643.152
cumulative-layout-shift,0
interactive,1880.5439999999999
transfer-size,143364
resource-size,143030
server-response-time,30.412999999999997
first-contentful-paint,781.6500000000001
largest-contentful-paint,1834.4750000000001
speed-index,1733.3872268682562
total-blocking-time,708.175
cumulative-layout-shift,0
interactive,1945.4750000000001
transfer-size,143364
resource-size,143030
server-response-time,23.38199999999999
first-contentful-paint,781.396
largest-contentful-paint,1801.094
speed-index,1671.896400359416
total-blocking-time,538.3019999999999
cumulative-layout-shift,0
interactive,1904.0939999999998
transfer-size,143364
resource-size,143030
server-response-time,32.84700000000001
first-contentful-paint,759.3119999999999
largest-contentful-paint,1772.6399999999999
speed-index,1466.2944475792574
total-blocking-time,531.344
cumulative-layout-shift,0
interactive,1867.6399999999999
transfer-size,143364
resource-size,143030
