Metric,Value
first-contentful-paint,1012.354
largest-contentful-paint,1012.354
speed-index,17449.97181201991
total-blocking-time,9931
cumulative-layout-shift,0
interactive,11868.354
transfer-size,142369
resource-size,142035
server-response-time,11903.926
first-contentful-paint,988.7785
largest-contentful-paint,988.7785
speed-index,27894.279611965852
total-blocking-time,9981
cumulative-layout-shift,0
interactive,11892.038
transfer-size,142369
resource-size,142035
server-response-time,19361.772999999997
first-contentful-paint,983.618
largest-contentful-paint,983.618
speed-index,16935.44631206998
total-blocking-time,9932.5
cumulative-layout-shift,0
interactive,11837.324
transfer-size,142369
resource-size,142035
server-response-time,11576.214
first-contentful-paint,980.8900000000001
largest-contentful-paint,980.8900000000001
speed-index,17066.53241208934
total-blocking-time,9929
cumulative-layout-shift,0
interactive,11834.89
transfer-size,142369
resource-size,142035
server-response-time,11675.109
first-contentful-paint,987.6485000000001
largest-contentful-paint,987.6485000000001
speed-index,17440.322611955824
total-blocking-time,9928.5
cumulative-layout-shift,0
interactive,11834.698
transfer-size,142369
resource-size,142035
server-response-time,11955.672
first-contentful-paint,988.8420000000001
largest-contentful-paint,988.8420000000001
speed-index,17358.361012046615
total-blocking-time,9928
cumulative-layout-shift,0
interactive,11841.842
transfer-size,142369
resource-size,142035
server-response-time,11776.98
first-contentful-paint,995.7855
largest-contentful-paint,995.7855
speed-index,23372.622895983783
total-blocking-time,9929
cumulative-layout-shift,0
interactive,11848.714
transfer-size,142369
resource-size,142035
server-response-time,16171.256
first-contentful-paint,988.6449999999999
largest-contentful-paint,1882.86
speed-index,17268.51246401166
total-blocking-time,9939
cumulative-layout-shift,0
interactive,11843.86
transfer-size,142369
resource-size,142035
server-response-time,11797.291
first-contentful-paint,982.5005000000001
largest-contentful-paint,982.5005000000001
speed-index,17265.30421197185
total-blocking-time,9928
cumulative-layout-shift,0
interactive,11833.334
transfer-size,142369
resource-size,142035
server-response-time,11824.043
first-contentful-paint,993.262
largest-contentful-paint,1878.262
speed-index,16876.34401184634
total-blocking-time,9930
cumulative-layout-shift,0
interactive,11848.262
transfer-size,142369
resource-size,142035
server-response-time,11525.586
first-contentful-paint,985.9755
largest-contentful-paint,985.9755
speed-index,17175.91421183833
total-blocking-time,9929
cumulative-layout-shift,0
interactive,11833.634
transfer-size,142369
resource-size,142035
server-response-time,11762.614
first-contentful-paint,986.3209999999999
largest-contentful-paint,986.3209999999999
speed-index,25168.65611187573
total-blocking-time,9930.5
cumulative-layout-shift,0
interactive,11834.928
transfer-size,142369
resource-size,142035
server-response-time,17432.334
first-contentful-paint,1035
largest-contentful-paint,1931
speed-index,17771.234312171448
total-blocking-time,9935.5
cumulative-layout-shift,0
interactive,11895.5
transfer-size,142369
resource-size,142035
server-response-time,11840.502
first-contentful-paint,24283.166
largest-contentful-paint,25177.166
speed-index,48847.19721190778
total-blocking-time,9934.499999999996
cumulative-layout-shift,0
interactive,35142.666
transfer-size,142369
resource-size,142035
server-response-time,11876.453
first-contentful-paint,1006.9735000000001
largest-contentful-paint,1962.298
speed-index,17265.562811798278
total-blocking-time,9991.5
cumulative-layout-shift,0
interactive,11962.298
transfer-size,142369
resource-size,142035
server-response-time,11801.963
first-contentful-paint,991.892
largest-contentful-paint,991.892
speed-index,17042.3251121848
total-blocking-time,9927.5
cumulative-layout-shift,0
interactive,11844.392
transfer-size,142369
resource-size,142035
server-response-time,11658.539
first-contentful-paint,982.816
largest-contentful-paint,982.816
speed-index,17453.99951213206
total-blocking-time,9935
cumulative-layout-shift,0
interactive,11842.816
transfer-size,142369
resource-size,142035
server-response-time,11777.43
first-contentful-paint,981.1979999999999
largest-contentful-paint,981.1979999999999
speed-index,17424.641311993208
total-blocking-time,9928
cumulative-layout-shift,0
interactive,11832.264
transfer-size,142369
resource-size,142035
server-response-time,11926.501
first-contentful-paint,985.3340000000001
largest-contentful-paint,985.3340000000001
speed-index,25239.830311923797
total-blocking-time,9929.5
cumulative-layout-shift,0
interactive,11838.612000000001
transfer-size,142369
resource-size,142035
server-response-time,17510.751
first-contentful-paint,24373.956
largest-contentful-paint,25242.956
speed-index,48774.911711954504
total-blocking-time,9928
cumulative-layout-shift,0
interactive,35220.956
transfer-size,142369
resource-size,142035
server-response-time,11770.806999999999
first-contentful-paint,988.144
largest-contentful-paint,988.144
speed-index,17018.614512047632
total-blocking-time,9950
cumulative-layout-shift,0
interactive,11813.144
transfer-size,142369
resource-size,142035
server-response-time,11668.449
first-contentful-paint,982.238
largest-contentful-paint,982.238
speed-index,17275.130811956842
total-blocking-time,9950
cumulative-layout-shift,0
interactive,11807.238
transfer-size,142369
resource-size,142035
server-response-time,11871.744
first-contentful-paint,998.0765000000001
largest-contentful-paint,998.0765000000001
speed-index,17495.18248821572
total-blocking-time,9932
cumulative-layout-shift,0
interactive,11848.102
transfer-size,142369
resource-size,142035
server-response-time,11940.603
first-contentful-paint,997.3800000000001
largest-contentful-paint,997.3800000000001
speed-index,17272.4501120503
total-blocking-time,9929.5
cumulative-layout-shift,0
interactive,11842.880000000001
transfer-size,142369
resource-size,142035
server-response-time,11813.619999999999
first-contentful-paint,986.2940000000001
largest-contentful-paint,986.2940000000001
speed-index,17255.48761191045
total-blocking-time,9950
cumulative-layout-shift,0
interactive,11811.294
transfer-size,142369
resource-size,142035
server-response-time,11845.508
first-contentful-paint,989.3319999999999
largest-contentful-paint,989.3319999999999
speed-index,27056.192511986552
total-blocking-time,9930
cumulative-layout-shift,0
interactive,11834.332
transfer-size,142369
resource-size,142035
server-response-time,18856.052
first-contentful-paint,979.8320000000001
largest-contentful-paint,979.8320000000001
speed-index,17452.5107120009
total-blocking-time,9950
cumulative-layout-shift,0
interactive,11804.832
transfer-size,142369
resource-size,142035
server-response-time,12002.406
first-contentful-paint,980.626
largest-contentful-paint,980.626
speed-index,16895.863212032946
total-blocking-time,9950
cumulative-layout-shift,0
interactive,11805.626
transfer-size,142369
resource-size,142035
server-response-time,11601.593
first-contentful-paint,979.258
largest-contentful-paint,979.258
speed-index,16979.21108798476
total-blocking-time,9950
cumulative-layout-shift,0
interactive,11804.258
transfer-size,142369
resource-size,142035
server-response-time,11662.036
first-contentful-paint,981.7940000000001
largest-contentful-paint,981.7940000000001
speed-index,16956.350611850365
total-blocking-time,9929.5
cumulative-layout-shift,0
interactive,11827.294
transfer-size,142369
resource-size,142035
server-response-time,11620.872
first-contentful-paint,979.116
largest-contentful-paint,979.116
speed-index,17418.396312047633
total-blocking-time,9950
cumulative-layout-shift,0
interactive,11804.116
transfer-size,142369
resource-size,142035
server-response-time,11974.360999999999
first-contentful-paint,987.0640000000001
largest-contentful-paint,987.0640000000001
speed-index,17073.822912032945
total-blocking-time,9926
cumulative-layout-shift,0
interactive,11836.064
transfer-size,142369
resource-size,142035
server-response-time,11728.619
first-contentful-paint,979.5920000000001
largest-contentful-paint,979.5920000000001
speed-index,17105.150511971526
total-blocking-time,9929.5
cumulative-layout-shift,0
interactive,11825.092
transfer-size,142369
resource-size,142035
server-response-time,11756.577
first-contentful-paint,1000.7719999999999
largest-contentful-paint,1886.772
speed-index,17495.328987895286
total-blocking-time,9930.5
cumulative-layout-shift,0
interactive,11856.272
transfer-size,142369
resource-size,142035
server-response-time,11954.187
first-contentful-paint,978.338
largest-contentful-paint,978.338
speed-index,17317.289411991555
total-blocking-time,9928
cumulative-layout-shift,0
interactive,11825.338
transfer-size,142369
resource-size,142035
